epochs,batch_size,learning_rate,lambda_weight,loss_function,ari,hvg,asw,f1,nmi,sil,graph,pcr,sil_batch,avg_bio,avg_batch,time
5,640,0.0001,0.8,log,0.48449010526526765,0.286875,0.73554677,0.8471849865951743,0.729844840493976,0.58396596,0.808178333387083,0.22450093155076042,0.829301,0.6113179428718036,0.6206600881930873,244.68073439598083
10,640,0.0001,0.8,log,0.48449010526526765,0.31025,0.7424117,0.8987341772151899,0.729844840493976,0.60578305,0.8097517882929224,0.27509286496806173,0.82871324,0.6285856402225557,0.6378526305000908,198.91503953933716
20,640,0.0001,0.8,log,0.48449010526526765,0.3105,0.7553683,0.9102564102564102,0.729844840493976,0.6414134,0.8243169967340712,0.34266276858604444,0.8359084,0.638645506497299,0.6676293927511551,273.4440553188324
50,640,0.0001,0.8,log,0.48449010526526765,0.287875,0.77099377,0.9880952380952381,0.729844840493976,0.6859882,0.8736191802963112,0.41460099014402324,0.8397115,0.657881190135542,0.7093105525778594,538.2512843608856
