epochs,batch_size,learning_rate,lambda_weight,loss_function,ari,hvg,asw,f1,nmi,sil,graph,pcr,sil_batch,avg_bio,avg_batch
30,640,0.0001,0.8,uniform,0.7080040752468869,0.26275000000000004,0.7462946,0.9819927971188476,0.8642900949119278,0.6918579,0.848513085533896,0.421728782599465,0.84723645,0.7091982432206697,0.7058261075400694
30,640,0.0001,0.8,log,0.7080040752468869,0.263,0.76767457,0.9807692307692307,0.8642900949119278,0.66834575,0.820286302575606,0.36349243604702075,0.8367036,0.7086806192702494,0.6734941123739749
