epochs,batch_size,learning_rate,lambda_weight,loss_function,ari,hvg,asw,f1,nmi,sil,graph,pcr,sil_batch,avg_bio,avg_batch,time
5,640,0.0001,0.8,uniform,0.5551560122265754,0.308,0.657012,0.8429530201342282,0.7455933178443072,0.61968094,0.8212024544949988,0.3525400771280474,0.83576673,0.6213992128481347,0.6698364214385882,279.2100374698639
10,640,0.0001,0.8,uniform,0.5551560122265754,0.276875,0.68641716,0.8934531450577664,0.7455933178443072,0.65628844,0.8834333195901207,0.3871703970456688,0.8356642,0.6356305137571491,0.7020893097798314,253.94714975357056
20,640,0.0001,0.8,uniform,0.5551560122265754,0.256625,0.7334008,0.9795427196149218,0.7455933178443072,0.68435514,0.8674151950510551,0.3774835042213935,0.84200543,0.659112168517326,0.6956347103081727,373.58157682418823
50,640,0.0001,0.8,uniform,0.5551560122265754,0.25925,0.7744881,0.9856459330143541,0.7455933178443072,0.7188996,0.9266395188901966,0.42840742931979436,0.8436381,0.673172160368739,0.7328950234305825,710.3808896541595
